employee_id,age,gender,education,department,job_level,experience_years,salary,training_hours,projects_completed,monthly_working_hours,overtime_hours,leaves_taken,manager_rating,peer_review_score,attendance_rate,years_at_company,promotion_last_5_years,attrition_risk,performance_score,performance_category,salary_per_exp,projects_per_year,training_efficiency,overtime_ratio,engagement_score,is_senior
EMP0001,25,Female,Bachelor's,Marketing,Junior,1,39699.0,52,17,145,6,8,5,4.4,100.0,1,1,Low,81.45,High,19849.5,8.5,2.89,0.0411,0.688,0
EMP0002,51,Female,Bachelor's,Operations,Senior,19,112205.0,41,1,163,9,4,4,5.9,85.3,19,0,Medium,58.16,Medium,5610.25,0.05,20.5,0.0549,0.6412,1
EMP0003,46,Female,Bachelor's,Engineering,Manager,8,125495.0,19,2,149,7,19,4,6.0,86.2,5,0,Medium,61.81,Medium,13943.89,0.33,6.33,0.0467,0.5818,1
EMP0004,38,Female,Bachelor's,HR,Lead,10,121506.0,20,6,149,21,17,3,7.8,81.3,8,1,Medium,55.08,Medium,11046.0,0.67,2.86,0.14,0.6192,1
EMP0005,38,Male,Master's,Operations,Junior,12,46903.0,57,3,144,25,3,4,5.8,82.6,12,0,Medium,60.49,Medium,3607.92,0.23,14.25,0.1724,0.6754,0
EMP0006,54,Female,Bachelor's,Support,Junior,21,66051.0,94,2,175,30,4,3,6.2,86.6,19,1,Medium,60.16,Medium,3002.32,0.1,31.33,0.1705,0.8144,0
EMP0007,25,Female,Diploma,Sales,Manager,1,120612.0,63,8,146,17,11,4,5.9,71.69500000000001,0,0,Medium,61.1,Medium,60306.0,8.0,7.0,0.1156,0.6528,1
EMP0008,48,Female,Bachelor's,Finance,Manager,22,156439.0,49,8,163,37,8,4,4.4,88.1,19,0,Medium,57.22,Medium,6801.7,0.4,5.44,0.2256,0.6314,1
EMP0009,29,Female,Master's,Sales,Mid,5,62890.0,93,3,218,14,9,3,5.5,85.9,4,1,Medium,67.37,Medium,10481.67,0.6,23.25,0.0639,0.7876,0
EMP0010,25,Female,Bachelor's,Engineering,Senior,2,91646.0,72,16,210,6,7,3,5.9,96.3,2,0,Medium,73.3,Medium,30548.67,5.33,4.24,0.0284,0.7782,1
EMP0011,42,Male,Master's,Marketing,Mid,17,62717.0,74,17,214,1,13,3,6.6,93.4,13,1,Low,78.51,High,3484.28,1.21,4.11,0.0047,0.7936,0
EMP0012,59,Female,Master's,Support,Mid,28,88846.0,61,14,142,5,17,4,7.3,84.3,25,1,Low,77.72,High,3063.66,0.54,4.07,0.035,0.7392,0
EMP0013,49,Male,Bachelor's,Finance,Junior,24,55118.0,78,10,192,17,18,4,6.1,86.3,20,0,Medium,71.02,Medium,2204.72,0.48,7.09,0.0881,0.7622,0
EMP0014,50,Male,Diploma,HR,Junior,23,66643.0,55,19,190,16,9,4,6.1,88.1,22,0,Medium,74.47,High,2776.79,0.83,2.75,0.0838,0.7004,0
EMP0015,49,Female,Bachelor's,Sales,Junior,24,70017.0,65,7,150,34,16,2,3.9,100.0,24,1,Medium,50.94,Medium,2800.68,0.28,8.12,0.2252,0.712,0
EMP0016,51,Female,Bachelor's,Engineering,Lead,22,136697.0,65,9,212,5,13,5,7.3,83.4,21,1,Low,79.65,High,5943.35,0.41,6.5,0.0235,0.7476,1
EMP0017,41,Male,Master's,Sales,Junior,14,47519.0,77,1,172,10,3,4,5.5,84.2,13,0,Medium,59.37,Medium,3167.93,0.07,38.5,0.0578,0.7328,0
EMP0018,26,Male,PhD,Sales,Junior,1,43617.0,90,14,218,39,15,1,7.6,81.0,0,0,Medium,57.34,Medium,21808.5,14.0,6.0,0.1781,0.822,0
